"EXERCÍCIO";"CÓDIGO ÓRGÃO SUPERIOR";"NOME ÓRGÃO SUPERIOR";"CÓDIGO ÓRGÃO SUBORDINADO";"NOME ÓRGÃO SUBORDINADO";"CÓDIGO UNIDADE ORÇAMENTÁRIA";"NOME UNIDADE ORÇAMENTÁRIA";"CÓDIGO FUNÇÃO";"NOME FUNÇÃO";"CÓDIGO SUBFUNÇÃO";"NOME SUBFUNÇÃO";"CÓDIGO PROGRAMA ORÇAMENTÁRIO";"NOME PROGRAMA ORÇAMENTÁRIO";"CÓDIGO AÇÃO";"NOME AÇÃO";"CÓDIGO CATEGORIA ECONÔMICA";"NOME CATEGORIA ECONÔMICA";"CÓDIGO GRUPO DE DESPESA";"NOME GRUPO DE DESPESA";"CÓDIGO ELEMENTO DE DESPESA";"NOME ELEMENTO DE DESPESA";"ORÇAMENTO INICIAL (R$)";"ORÇAMENTO ATUALIZADO (R$)";"ORÇAMENTO EMPENHADO (R$)";"ORÇAMENTO REALIZADO (R$)"
"2019";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"2044";"PROMOCAO DOS DIREITOS DA JUVENTUDE";"217Y";"GESTAO DE POLITICAS PUBLICAS DE JUVENTUDE";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"00";"Não informado";"332500,00";"0,00";"0,00";"0,00"
"2019";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"2044";"PROMOCAO DOS DIREITOS DA JUVENTUDE";"217Y";"GESTAO DE POLITICAS PUBLICAS DE JUVENTUDE";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"00";"Não informado";"142500,00";"0,00";"0,00";"0,00"
"2019";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"2044";"PROMOCAO DOS DIREITOS DA JUVENTUDE";"217Y";"GESTAO DE POLITICAS PUBLICAS DE JUVENTUDE";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"00";"Não informado";"400000,00";"0,00";"0,00";"0,00"
"2019";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"2044";"PROMOCAO DOS DIREITOS DA JUVENTUDE";"217Y";"GESTAO DE POLITICAS PUBLICAS DE JUVENTUDE";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"00";"Não informado";"16150600,00";"0,00";"0,00";"0,00"
"2019";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"2044";"PROMOCAO DOS DIREITOS DA JUVENTUDE";"217Y";"GESTAO DE POLITICAS PUBLICAS DE JUVENTUDE";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"00";"Não informado";"295000,00";"0,00";"0,00";"0,00"
"2019";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"2044";"PROMOCAO DOS DIREITOS DA JUVENTUDE";"217Y";"GESTAO DE POLITICAS PUBLICAS DE JUVENTUDE";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"00";"Não informado";"530000,00";"0,00";"0,00";"0,00"
"2019";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"2044";"PROMOCAO DOS DIREITOS DA JUVENTUDE";"217Y";"GESTAO DE POLITICAS PUBLICAS DE JUVENTUDE";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"00";"Não informado";"95000,00";"0,00";"0,00";"0,00"
"2019";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"121";"Planejamento e orçamento";"2038";"DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"2E24";"FORMULACAO, DESENVOLVIMENTO E CAPACITACAO PARA PARTICIPACAO SOCIAL";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"14";"Diárias - Civil";"105000,00";"105000,00";"62776,08";"62776,08"
"2019";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"121";"Planejamento e orçamento";"2038";"DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"2E24";"FORMULACAO, DESENVOLVIMENTO E CAPACITACAO PARA PARTICIPACAO SOCIAL";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"36";"Outros Serviços de Terceiros - Pessoa Física";"200840,00";"200840,00";"0,00";"0,00"
"2019";"20000";"Presidência da República";"20101";"Presidência da República";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"121";"Planejamento e orçamento";"2038";"DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"2E24";"FORMULACAO, DESENVOLVIMENTO E CAPACITACAO PARA PARTICIPACAO SOCIAL";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"33";"Passagens e Despesas com Locomoção";"155000,00";"155000,00";"116000,00";"102391,30"
